年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
99/03,1101,台泥,     59845923,     11719208,    139443206,     13297939,      7438255,    231744531,     47121768,     67001603,      5248469,      2772243,    122144083,     32921759,      9357217,     16583977,     22727605,              0,              0,     28009890,    109600448,              0.00,              0.00,             24.78
99/03,1102,亞泥,     29744987,     57943424,     65647793,      4654550,      7515735,    165506489,     21836810,     51956920,      1466299,      1664331,     76924360,     30753075,      8256390,     21277518,     15278558,              0,              0,     13016588,     88582129,              0.00,              0.00,             24.57
99/03,1103,嘉泥,     11162181,      6584492,     11543666,        537224,        631093,     30458656,      2834443,      7810033,      1291202,        531845,     12467523,      7322354,        455445,      6747894,      1274730,              0,              0,      2190710,     17991133,              0.00,    140049228.00,             26.68
99/03,1104,環球水泥,      5007591,      6696723,      3649711,         39413,      2448645,     17842083,      1554041,      1825000,      1179798,        287380,      4846219,      6038919,        159623,      3047931,      3534982,              0,              0,        214409,     12995864,              0.00,              0.00,             21.17
99/03,1108,幸福水泥,      5132719,        248140,      3100346,          1240,        609432,      9091877,      3003535,      1452500,              0,        489479,      4945514,      4047380,         27412,         69362,         -5821,              0,              0,          8030,      4146363,              0.00,              0.00,             10.22
99/03,1109,信大水泥,      2709282,        901905,      3812783,         73923,        236696,      7734589,        269241,        312600,              0,        379459,        961300,      4210008,         42598,      1699629,          3545,              0,              0,        817509,      6773289,              0.00,              0.00,             14.15
99/03,1110,東泥,      1610665,      2297752,      4697984,              0,        883299,      9489700,        521399,              0,        242930,        498403,      1262732,      5720008,        183656,      1626220,        693577,              0,              0,          3507,      8226968,              0.00,              0.00,             14.38
99/03,1201,味全公司,     17376291,        100259,      7761875,        248222,      1513614,     27000261,     17065434,      1538226,        748907,      1728294,     21080861,      5060629,         38408,      1053663,       -471072,              0,              0,        237772,      5919400,              0.00,              0.00,             11.23
99/03,1203,味王公司,      2811517,        297518,      4136332,         30183,        762541,      8038091,      1332598,        201046,        879845,        540408,      2953897,      2400000,         36154,        517117,      1247278,              0,              0,        883645,      5084194,              0.00,      2293865.00,             17.67
99/03,1210,大成長城,     16071699,      1579951,      8753752,        764679,        684844,     27854925,     11355961,      1439939,         20754,        376652,     13193306,      4946679,      1829564,      2521154,        501853,              0,              0,      4862369,     14661619,              0.00,     36940633.00,             21.41
99/03,1213,大飲,        402598,         30196,        251726,              0,         92743,        777263,        191615,              0,              0,          4606,        196221,        514751,         21938,         46491,         -2138,              0,              0,              0,        581042,              0.00,              0.00,             11.29
99/03,1215,卜蜂企業,      3621327,      1645152,      1322508,         32950,        113374,      6735311,      2099875,              0,              0,        347177,      2447052,      2320268,            967,        493355,      1353702,              0,              0,        119967,      4288259,              0.00,              0.00,             17.96
99/03,1216,統一,    119100835,     43410881,    107172547,      5677562,     20076114,    295437939,    102674074,     66428716,      1908314,      9255203,    180266307,     42871403,      6113228,     18108892,      4482424,              0,              0,     43595685,    115171632,              0.00,              0.00,             16.70
99/03,1217,愛之味,      2826313,      2506237,      3444261,         66007,      1120098,      9962916,      1925789,      2539565,         79974,        244738,      4790066,      4476893,         84769,         34357,        160634,              0,              0,        416197,      5172850,              0.00,              0.00,             10.62
99/03,1218,泰山企業,      4270831,      2043589,      2520008,         17187,        257644,      9109259,      3367624,      1478538,        229042,        213983,      5289187,      3330531,         45821,        225160,        182058,              0,              0,         36502,      3820072,              0.00,     12696764.00,             11.81
99/03,1219,福壽實業,      3311013,        256092,      2095446,         28873,         81368,      5772792,        946643,        408589,        505262,        227848,      2088342,      2839087,        215710,        281527,        333663,              0,              0,         14463,      3684450,              0.00,              0.00,             12.93
99/03,1220,台榮,      1684861,        100788,        557374,         13634,        140117,      2496774,        637651,          1395,          5813,        111970,        756829,      1770779,            537,       -198573,         23118,              0,              0,        144084,      1739945,              0.00,              0.00,              9.01
99/03,1225,福懋油,      3136553,        239649,      2782463,         96191,        211638,      6466494,      2078321,      1637237,        100296,        112087,      3927941,      1749049,        152783,        123181,        188739,              0,              0,        324801,      2538553,              0.00,              0.00,             12.66
99/03,1227,佳格,      7159668,        374851,      2150895,         28189,        575644,     10289247,      3182772,        135917,         33685,         32848,      3385222,      3709015,         33946,      2853294,        164271,              0,              0,        143499,      6904025,              0.00,      2703252.00,             18.36
99/03,1229,聯華實業,      2447346,     18032047,      4157240,         60390,        131601,     24828624,      1608349,      3212401,         93688,        221088,      5135526,      8204415,      1065512,      5336117,      4951015,              0,              0,        136039,     19693098,      5892250.00,         91000.00,             23.84
99/03,1231,聯華食品,      2034199,          7011,        713093,         41230,        478761,      3274294,      1030543,        244780,              0,        120833,      1396156,      1154190,         73042,        647612,        -11446,              0,              0,         14740,      1878138,              0.00,              0.00,             16.14
99/03,1232,大統益,      2939812,         18795,      1004460,          1400,         12724,      3977191,      1099248,              0,              0,         25050,      1124298,      1599749,         23784,      1263252,        -57770,              0,              0,         23878,      2852893,              0.00,              0.00,             17.68
99/03,1233,天仁,        738834,          3860,        799356,          3576,         92284,      1637910,        282803,            250,              0,          8188,        291241,        905919,         60605,        368372,             29,              0,              0,         11744,      1346669,              0.00,              0.00,             14.74
99/03,1234,黑松,      2954506,      6920383,      2866069,         10860,        537759,     13289577,      1202255,              0,      1915676,        517941,      3635872,      5358281,        184601,      2063653,      2047170,              0,              0,              0,      9653705,              0.00,              0.00,             18.02
99/03,1235,興泰,        875515,        191568,        149547,              0,        144331,      1360961,        392533,              0,         36662,         24302,        453497,        545328,         27674,        109279,        216253,              0,              0,          8930,        907464,              0.00,      2069525.00,             17.13
99/03,1236,宏亞食品,        700781,         21398,      1247876,          9807,        100218,      2080080,        583658,              0,              0,        222912,        806570,        920497,         33396,        317218,          2399,              0,              0,              0,      1273510,              0.00,              0.00,             13.84
99/03,1301,台塑,    120422191,    116440266,     88300331,      2029308,      6108338,    333300434,     40497266,     41875489,              0,      8243360,     90616115,     61209046,     12818468,    112794055,     55862750,              0,              0,              0,    242684319,              0.00,              0.00,             39.65
99/03,1303,南亞塑膠,    186466336,    103142358,    154580444,      2085696,      5796553,    452071387,     63219744,     87006957,              0,     19430580,    169657281,     78522986,     27687634,    127221687,     36884369,              0,              0,     12097430,    282414106,              0.00,        183235.00,             34.43
99/03,1304,台聚,     31243036,      3720501,     13128660,        915135,      2165124,     51172456,     14925812,      6340838,        800992,      3179583,     25247225,      8639716,        216841,      4275552,        626060,              0,              0,     12167062,     25925231,              0.00,     51882799.00,             16.94
99/03,1305,華夏,      6075326,        407270,      4024621,         78638,        712368,     11298223,      3799059,        707354,        592084,      1321456,      6419953,      4248035,          9339,         32981,        478971,              0,              0,        108944,      4878270,              0.00,              0.00,             11.23
99/03,1307,三芳化工,      4789891,        134779,      3738077,        151097,        134833,      8948677,      2619877,        721378,         37782,        302658,      3681695,      3119649,        137866,      2065323,        -55856,              0,              0,              0,      5266982,              0.00,              0.00,             16.88
99/03,1308,亞聚,      4063969,      3303271,        644305,         10272,        537015,      8558832,        672107,              0,         21469,        305706,        999282,      3131179,         31843,      2784194,      1612334,              0,              0,              0,      7559550,              0.00,              0.00,             24.14
99/03,1309,台達化工,      7064895,        756887,      1802874,         54762,        367596,     10047014,      3313617,      2346882,        143860,        549641,      6354000,      2786155,          4701,        472055,        430103,              0,              0,              0,      3693014,              0.00,              0.00,             13.25
99/03,1310,台苯,      6536830,      2225429,      2164080,        135345,        391300,     11452984,      4532270,        462343,         10420,         34056,      5039089,      5803403,        693246,       -467995,       -358915,              0,              0,        744156,      6413895,              0.00,        265425.00,              9.77
99/03,1312,國喬石化,      5319006,      6241064,      7705610,        726786,        705881,     20698347,      4073746,      1200000,      1062196,        480756,      6816698,      9266203,        173021,      1504979,      1222491,              0,              0,      1714955,     13881649,              0.00,     12424473.00,             13.31
99/03,1313,聯成,     21119986,      4368993,      8293982,        487201,        174676,     34444838,     12871085,      3096766,         99828,        330416,     16398095,     10310935,      1023302,      5408506,      1244882,              0,              0,         59118,     18046743,      1836250.00,     11787000.00,             17.65
