年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
93/01,1101,台泥,         15220867,         33654280,         46106283,            621627,          4803011,         10724099,         32283056,          7442283,         27103964,         14586511,          8811867,           -545712,        100406068,         50449438,         49956630,         18.43
93/01,1102,亞泥,          8282167,         41233199,          2316677,                  0,          8834254,          6537227,          7980000,          4123565,         20383904,          8264261,         12734787,            642553,         60666297,         18640792,         42025505,         20.62
93/01,1103,嘉泥,          2289778,         12258184,            427775,            190143,            688923,          2049220,          3139630,            183379,          6996391,          2136080,          2987127,         -1637024,         15854803,          5372229,         10482574,         14.98
93/01,1104,環球水泥,          1768739,          4936865,          5453410,            155437,            220370,          1325562,          1300000,          2246576,          3711834,          1957019,          2023108,            -29278,         12534821,          4872138,          7662683,         20.64
93/01,1108,幸福水泥,          2473018,          3049202,          2153983,             96644,            460231,          2943431,            305500,            435419,          4047380,                308,            493915,              7125,          8233078,          3684350,          4548728,         11.24
93/01,1109,信大水泥,          2034727,          1942795,          2243186,             74836,            185554,            547898,                  0,            324307,          4207140,             12029,          1426611,            -36887,          6481098,            872205,          5608893,         13.33
93/01,1110,東泥,          1440258,          2424788,          5551105,             69237,            608359,            815093,                  0,          1376153,          5586360,            313625,          2074112,            -71596,         10093747,          2191246,          7902501,         14.15
93/01,1201,味全公司,          3217013,          2013190,          4825375,            675305,            914098,          2610387,          2797936,          2521232,          5060629,          1792047,         -2935537,           -201713,         11644981,          7929555,          3715426,          7.34
93/01,1203,味王公司,          1432399,          1892455,          1599257,            209296,             49914,          1802776,            320000,            658174,          2092537,             95419,            290773,            -76358,          5183321,          2780950,          2402371,         11.48
93/01,1210,大成長城,          3990563,          2653305,          2228775,             57535,            262621,          3258396,            990971,            185482,          3903182,            245712,            992892,           -383836,          9192799,          4434849,          4757950,         12.19
93/01,1213,大飲,            308861,              2234,            197884,              2387,            191697,            106486,                  0,             25904,            428959,             64834,             76982,               -102,            703063,            132390,            570673,         13.30
93/01,1215,卜蜂企業,          3075253,            495182,            875728,                  0,             88853,          1449103,            564850,            115697,          2320268,                967,            167207,            -83076,          4535016,          2129650,          2405366,         10.37
93/01,1216,統一,          8900557,         50202094,         14458147,            334967,          1557260,          7227871,         23056073,          2495129,         33753848,            963738,          8886269,           -929903,         75453025,         32779073,         42673952,         12.64
