年季,公司代號,公司名稱,流動資產,買匯貼現及放款,基金長期投資及放款,固定資產,無形資產,其他資產,受託買賣借項,流動負債,存款及匯款,央行及同業融資,長期負債,其他負債,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
93/02,2816,旺旺保險,          4706745,          3325780,          3284496,            616124,            234241,          1267001,                  0,          1288749,                  0,                  0,            231395,          5648733,                  0,          6236320,            363010,          1237689,         -1571509,         13434387,          7168877,          6265510,         10.95
93/02,2823,中壽,         39887716,         17740670,         85999859,          3521931,                  0,          8547877,                  0,          1126593,                  0,                  0,             28855,        144663808,                  0,          7924604,            704037,          1308581,            -58425,        155698053,        145819256,          9878797,         12.47
93/02,2832,台產,         10017220,              4000,          2927518,            758763,                  0,             39139,                  0,          4666072,                  0,                  0,            765005,          4192972,                  0,          3040915,            564303,            656417,           -139044,         13746640,          9624049,          4122591,         14.69
93/02,2850,新產,          6585990,                  0,          3875640,            888812,             36626,            451804,                  0,          1303765,                  0,                  0,            167536,          7515416,                  0,          2281959,            289928,            280268,                  0,         11838872,          8986717,          2852155,         13.44
93/02,2851,中再保,         12456735,                  0,          6310901,            352528,                  0,            321713,                  0,          1863549,                  0,                  0,            160551,         13028049,                  0,          3600000,            189608,            600257,               -137,         19441877,         15052149,          4389728,         12.19
93/02,2852,第一保,          5493342,            271000,          2086265,            468313,                  0,            127151,                  0,            964812,                  0,                  0,            264617,          4564373,                  0,          2102300,             70686,            532275,            -52992,          8446071,          5793802,          2652269,         12.62
93/02,2855,統一證券,         30303622,?,          6823041,          1861375,             11280,          1615049,             48987,         20941056,?,?,          3000000,            204920,                  0,         11406730,             60159,          5091857,            -41368,         40663354,         24145976,         16517378,         14.48
93/02,2856,元富證券,         61933622,?,          2529702,          2083078,              3200,          2336324,             72158,         49003111,?,?,          2296722,            250808,                  0,         12791578,            586084,          4056271,            127759,         69112333,         51550641,         17561692,         14.42
93/02,2867,三商美邦,         34844458,         22612368,         40747424,          2203310,             16326,          3539566,                  0,          2098738,                  0,                  0,            416924,         98561493,                  0,          4834000,            544000,         -2487524,             -4179,        103963452,        101077155,          2886297,          5.97
93/02,2880,華南金,          7619420,                  0,         74846708,             13069,                  0,            146671,                  0,          1381274,                  0,                  0,          6008941,                345,                  0,         55796342,         12413801,          7050915,            -25750,         82625868,          7390560,         75235308,         15.91
93/02,2881,富邦金,         26046544,                  0,        159047016,              6717,                  0,            240662,                  0,         33227985,                  0,                  0,          8291505,                  0,                  0,         82541193,         57612035,         27491004,        -23822783,        185340939,         41519490,        143821449,         17.42
93/02,2882,國泰金,         22063178,                  0,        166795248,              4748,                  0,            362183,                  0,         17158790,                  0,                  0,         25318555,                747,                  0,         83074891,         53675526,         21934528,        -11937680,        189225357,         42478092,        146747265,         17.66
93/02,2883,開發金,          1859350,                  0,        130328444,             11595,                  0,             36762,                  0,         17226984,                  0,                  0,          6000000,              2343,                  0,        118392470,         26217920,         -5361186,        -30242380,        132236151,         23229327,        109006824,          9.21
93/02,2884,玉山金控,          9596312,                  0,         31005531,                  0,                  0,             21405,                  0,          7794142,                  0,                  0,          1050000,                  0,                  0,         26897102,          3936544,          3813580,         -2868120,         40623248,          8844142,         31779106,         12.24
93/02,2885,元大金,            588543,                  0,         46057167,            252224,                  0,            305182,                  0,          6196792,                  0,                  0,          2906778,                  0,                  0,         30064445,          8322197,          2698647,         -2985743,         47203116,          9103570,         38099546,         13.16
93/02,,,,,,,,,,,,,,,,,,,,,,,
93/02,2886,兆豐金,         25747353,                  0,        184905910,            149320,                  0,            202325,                  0,         17204152,                  0,                  0,         44184127,              2902,                  0,        113657296,         46481810,         19149929,        -29675308,        211004908,         61391181,        149613727,         13.16
93/02,2887,台新金控,         12268366,                  0,         85073951,              3116,                  0,            113429,                  0,          6904571,                  0,                  0,         25860167,                  0,                  0,         46764593,         14800650,          7295710,         -4166829,         97458862,         32764738,         64694124,         14.65
93/02,2888,新光金,         10317576,                  0,         41654824,              3323,                  0,                228,                  0,            277367,                  0,                  0,         15381100,                  0,                  0,         25251687,          2811649,          8282755,            -28607,         51975951,         15658467,         36317484,         14.38
93/02,2889,國票金控,          2436953,                  0,         23181041,              3101,                  0,              1780,                  0,          2500530,                  0,                  0,                  0,              1774,                  0,         21198825,              5522,          1916224,                  0,         25622875,          2502304,         23120571,         10.91
93/02,2890,永豐金控,          8220504,                  0,         50479479,             20004,                  0,             50642,                  0,          2315045,                  0,                  0,          8416090,                  0,                  0,         39452343,          8243040,          3690028,         -3345917,         58770629,         10731135,         48039494,         12.74
93/02,2891,中信金,         17568766,                  0,        119514523,                  0,                  0,            359749,                  0,          8060789,                  0,                  0,         35624848,                  0,                  0,         60686137,         28901350,          9532251,         -5362337,        137443038,         43685637,         93757401,         15.45
93/02,2892,第一金控,          7262639,                  0,         72050719,             23083,              1788,              1033,                  0,             12825,                  0,                  0,          5001664,                583,                  0,         55490750,         12870621,          6075465,           -112646,         79339262,          5015072,         74324190,         13.39
93/02,6005,群益證,         37392781,?,          3620391,          4304028,            454823,          2830224,                  0,         28006394,?,?,             27698,            366820,             31047,         13643105,            843343,          5530929,            152911,         48602247,         28431959,         20170288,         14.78
