年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
95/03,1101,台泥,         14507240,         33701366,         40803039,            391395,          3361570,         92764610,          5457751,         20883674,          5030332,          2285694,         33657451,         30730720,          4722172,         11091464,         12571643,             -8840,         59107159,                  0,                  0,         19.24,                  0,          1135008
95/03,1102,亞泥,          5162138,         62263517,          1923410,                  0,          8334032,         77683097,          4535030,         13838024,          1443866,          1807308,         21624228,         25321212,          9687081,         16912882,          4137694,                  0,         56058869,                  0,                  0,         22.14,                  0,                  0
95/03,1103,嘉泥,          2684290,         16070021,            480902,            134212,            312727,         19682152,          1005367,          3971536,                  0,            386614,          5363517,          6745261,          2545718,          5835461,             38321,           -846126,         14318635,                  0,                  0,         26.54,                  0,        134975502
95/03,1104,環球水泥,          2295138,          6848773,          3275163,            111027,          2091125,         14621226,          1862337,            900000,          1082113,            465672,          4310122,          5091495,            171381,          2000652,          3055814,             -8238,         10311104,                  0,                  0,         20.28,                  0,            823000
95/03,1108,幸福水泥,          2344932,          2669247,          2150393,             49979,            503190,          7717741,          2836488,                  0,                  0,            408700,          3245188,          4047380,             15956,            405090,              4127,                  0,          4472553,                  0,                  0,         11.05,                  0,                  0
95/03,1109,信大水泥,          2863060,          1874178,          1922319,             27268,            197347,          6884172,            346407,                  0,                  0,            325660,            672067,          4290898,             20743,          1895553,              4911,                  0,          6212105,                  0,                  0,         14.48,                  0,                  0
95/03,1110,東泥,            932749,          2938657,          5329982,                  0,            473476,          9674864,            288480,            163333,            243226,            699563,          1394602,          5760008,            165443,          1885643,            517195,            -48027,          8280262,                  0,                  0,         14.48,                  0,          4301932
95/03,1201,味全公司,          2805694,          1488326,          4938761,            482360,            835263,         10550404,          2569015,          2060943,            748907,          1143349,          6522214,          5060629,             96634,           -950214,           -178859,                  0,          4028190,                  0,                  0,          7.96,                  0,                  0
95/03,1203,味王公司,          1393874,          2768623,            768071,            144666,             43435,          5118669,          1008930,            280000,            139094,            404821,          1832845,          2092537,             36154,             22311,          1139773,             -4951,          3285824,                  0,                  0,         15.85,                  0,          2000000
95/03,1210,大成長城,          3225789,          3698966,          1947641,             41325,            446831,          9360552,          2330381,          1217346,             20754,            168474,          3736955,          4020278,            217888,          1415121,            327854,           -357544,          5623597,                  0,                  0,         15.68,                  0,         43446822
95/03,1213,大飲,            465882,                  0,            188429,                  0,            159618,            813929,            185649,                  0,                  0,             46438,            232087,            514751,             21938,             45475,               -322,                  0,            581842,                  0,                  0,         11.30,                  0,                  0
95/03,1215,卜蜂企業,          1803672,            609546,            796396,                  0,             97766,          3307380,            657827,                  0,                  0,            158726,            816553,          2320268,                967,            174674,             -5082,                  0,          2490827,                  0,                  0,         10.74,                  0,                  0
95/03,1216,統一,          9107178,         52070306,         14026634,            250888,          2110095,         77565101,          6503735,         23317112,            815803,          1784036,         32420686,         33541258,            580717,          9670065,          1352375,                  0,         45144415,                  0,                  0,         13.46,                  0,                  0
95/03,1217,愛之味,          2427117,          3549291,          1824229,                  0,          1297764,          9098401,          2563181,          2089217,             79974,            201634,          4934006,          3776893,             21372,            311812,             54318,                  0,          4164395,                  0,                  0,         11.03,                  0,                  0
95/03,1218,泰山企業,          2338906,          2535520,          2082706,             57583,             64135,          7078850,          1605516,          1619412,            280756,            314501,          3820185,          3202434,            115481,            -68783,             79302,            -69769,          3258665,                  0,                  0,         10.72,                  0,         16130870
95/03,,,,,,,,,,,,,,,,,,,,,,,,
95/03,1219,福壽實業,          2369695,            721457,          1615318,             67485,             93175,          4867130,            681721,            180000,            431001,            212020,          1504742,          2663184,            240427,            132280,            326497,                  0,          3362388,                  0,                  0,         12.63,                  0,                  0
95/03,1220,台榮,          1474394,            318619,            689874,             14964,             93451,          2591302,            743247,                  0,              5813,             99900,            848960,          1770779,                537,            -64010,             35036,                  0,          1742342,                  0,                  0,          9.84,                  0,                  0
95/03,1225,福懋油,          1521448,            950736,          1034212,             15217,            114045,          3635658,          1360089,            284000,            100296,            107974,          1852359,          1627000,            120301,            -46374,             82372,                  0,          1783299,                  0,                  0,         10.96,                  0,                  0
95/03,1227,佳格,          2286858,          2286188,          1229821,                  0,            350982,          6153849,            922359,            662000,              2941,             16746,          1604046,          3209184,             15172,          1229532,            117097,            -21182,          4549803,                  0,                  0,         14.28,                  0,          2338960
95/03,1229,聯華實業,          1279871,         12629837,          1144721,             19568,            415277,         15489274,            914833,          1000000,             95377,            184223,          2194433,          6792616,            590439,          3457883,          2484751,            -30848,         13294841,                  0,                  0,         19.67,                  0,          3081000
95/03,1231,聯華食品,          1389446,            426690,            658593,             25249,            190952,          2690930,            687876,            291850,                  0,             63346,          1043072,          1154190,             76975,            407235,              9458,                  0,          1647858,                  0,                  0,         14.28,                  0,                  0
95/03,1232,大統益,          1616911,            668497,          1403660,              1511,             27008,          3717587,          1303129,            120000,                  0,              6458,          1429587,          1599749,             23784,            664467,                  0,                  0,          2288000,                  0,                  0,         14.30,                  0,                  0
