年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
98/01,2880,華南金,         20837330,        153569245,         38989348,          4959939,         95001697,         31602358,                  0,      1097327355,        192672188,             86619,            704298,         26483608,            556402,          9918186,         14850397,      1687558970,         38070745,      1401085765,            509887,         45809244,         22572312,         34920512,                  0,                  0,         34500000,          1715000,                  0,          1475285,          8252172,    782716.00,          7265370,      1596959008,         60896128,         12408866,         20364369,         -3070762,              1361,         90599962,                  0,                  0,         14.88
98/01,2881,富邦金,         94328653,        248379640,         73920340,          1487616,        806469175,         85914517,                  0,      1017345971,          9730232,          1491827,         27692385,         24479849,         10908688,        305128187,         22031242,      2729308322,         62671768,      1196870780,          3100000,         54889432,         15359464,         52777006,                  0,                  0,         80362279,          3840000,                  0,                  0,        960691177,125235411.00,         10227124,      2566024441,         81253615,         53917063,         38247972,        -14869584,          4734815,        163283881,                  0,         11080000,         19.54
98/01,2882,國泰金,        381298599,         50032494,        199372923,         21953760,        495944956,         95759498,                  0,      1327021100,        634309487,          2744959,        114962276,         40388822,          7767257,        395566192,         57490207,      3824612530,         41238695,      1123836664,                  0,         63891171,         12528782,         31024375,          1695850,                  0,         39129566,                  0,                  0,                  0,      2145976192,196418849.00,         11050695,      3666790839,         97375372,         81971213,         24395196,        -49525521,          3605431,        157821691,                  0,         66659815,         15.95
98/01,2883,開發金,         12157163,         14989762,         31383842,          2179959,         44898058,         13954766,                  0,         76560125,                  0,         12734387,                  0,          4396713,                  0,         49958282,         15908108,        279121165,          6196298,         24738327,          4205406,         25304971,         26663716,         13048193,                  0,                  0,         49726622,          9143376,                  0,                  0,                  0,  1375977.00,          1627464,        162030350,        112309170,          9116411,            147292,         -5092286,            610228,        117090815,                  0,        686872000,         11.05
98/01,2884,玉山金控,          9233691,        106671390,         68492060,                  0,         43282362,         30915041,                  0,        532197273,         17855867,                  0,                  0,         13178849,          4037925,          9120463,          4314669,        839299590,         25327561,        672083273,                  0,         20565836,         26330780,          8193915,                  0,                  0,         34300000,                  0,                  0,                  0,                  0,  2430216.00,            603181,        789834762,         35443511,         10407577,          4481171,           -867431,                  0,         49464828,                  0,         42000000,         14.12
98/01,2885,元大金,          8864785,         30314838,         76775600,         14203857,         24216920,         47261303,                  0,        227613559,          3498615,          5845605,                  0,          7986209,          8233123,         15797875,         14785409,        485438517,         10797454,        265606886,          4078182,          4991813,         26005140,         25261520,                  0,                  0,         22300000,          1742580,                  0,            934360,            780304,  1508518.00,         11057889,        375064646,         81021057,         25635141,          3890640,           -416038,            243071,        110373871,                  0,         28000000,         13.64
98/01,2886,兆豐金,        293494050,        267809838,        184034518,          1859610,        250864917,         90852810,                  0,      1314519032,        133511940,          2588287,            517630,         23593483,             84710,         25657554,         10891165,      2600279544,        532629604,      1410947042,          2894475,         45257687,        234891488,         53319978,         53521490,                  0,         54190967,          3273000,                  0,          1654096,         13128149,  5376662.00,          8501652,      2419586290,        110594262,         43426403,         23982487,          2135527,            554575,        180693254,                  0,                  0,         16.29
98/01,2887,台新金控,         24691078,        267644545,         87633036,          9591043,         66885959,         88551193,                  0,      1454156552,        203872844,          1202325,                  0,         44532345,         20757601,         35378368,         53138145,      2358035034,        189337739,      1775989212,            499934,         35188068,         60779749,         40698993,                  0,                  0,         83341958,                  0,                  0,                  0,          1225076,    666578.00,         21735064,      2209462371,         69880779,         19071742,         -3060940,           -549293,         63230375,        148572663,                  0,                  0,         12.21
98/01,2888,新光金,         71321935,         63080175,        143929588,         39394680,        298578649,         43092169,                  0,        462504860,          9857602,          1475410,         71761941,         19425445,          2335046,        483035182,         44764603,      1763249801,          3377118,        336022860,            399867,         28132507,         17216630,         20582134,                  0,                  0,         27425451,          3416025,          1654000,                  0,      1171604260, 90829702.00,          6553005,      1707213559,         62469066,         20649837,        -15791871,        -23196206,         11905416,         56036242,                  0,         31400000,          7.10
98/01,2889,國票金控,          2071698,          1570033,        118779769,          5443320,         63289489,          6279591,                  0,                  0,                  0,          1430447,                  0,          2347067,                  0,          6599603,          3011672,        210822689,          8195000,                  0,          1248326,          1954810,        168970611,          1196213,                  0,                  0,                  0,                  0,                  0,             90469,          1760650,  1389620.00,             22968,        184828667,         21947143,                  0,            227131,            236968,          3582780,         25994022,                  0,        100000000,         10.70
