年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2010,3,1101,台泥,勤業眾信聯合會計師事務所,邵志明,郭政弘,99/10/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1102,亞泥,勤業眾信聯合會計師事務所,戴信維,范有偉,99/10/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1103,嘉泥,勤業眾信聯合會計師事務所,方小萍,仲　偉,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1104,環球水泥,勤業眾信聯合會計師事務所,李季珍,龔俊吉,99/10/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1108,幸福水泥,勤業眾信聯合會計師事務所,謝建新,陳招美,99/10/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1109,信大水泥,資誠聯合會計師事務所,李秀玲,馮敏娟,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1110,東泥,建興聯合會計師事務所,黃鈴雯,劉奕宏,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1201,味全公司,資誠聯合會計師事務所,吳郁隆,王照明,99/10/28,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1203,味王公司,大中國際聯合會計師事務所,溫明郁,李聰明,99/10/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1210,大成長城,安侯建業會計師事務所,陳富煒,鍾丹丹,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1213,大飲,資誠聯合會計師事務所,蕭金木,吳漢期,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1215,卜蜂企業,資誠聯合會計師事務所,王輝賢,翁世榮,99/10/26,標準式無保留核閱報告
2010,3,1216,統一,資誠聯合會計師事務所,劉子猛,林姿妤,99/10/28,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1217,愛之味,建興聯合會計師事務所,劉奕宏,蔡淑滿,99/10/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1218,泰山企業,安侯建業聯合會計師事務所,陳嘉修,張淑瑩,99/10/22,保留(附加其他事項說明段)--採用其他會計師查核且欲區分責任、依被投資公司未經會計師查核報告認列投資損益
2010,3,1219,福壽實業,群智聯合會計師事務所,黃奕睿,陳郁惠,99/10/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1220,台榮,立本台灣聯合會計師事務所,陳玉芳,柯俊榮,99/10/23,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1225,福懋油,勤業眾信聯合會計師事務所,吳恩銘,陳招美,99/10/18,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1227,佳格,勤業眾信聯合會計師事務所,郭文吉,廖如陽,99/10/14,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1229,聯華實業,安侯建業聯合會計師事務所,楊柳鋒,連淑凌,99/10/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1231,聯華食品,勤業眾信聯合會計師事務所,張清福,蔡振財,99/10/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1232,大統益,資誠聯合會計師事務所,劉子猛,林姿妤,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1233,天仁,安永聯合會計師事務所,蕭翠慧,徐榮煌,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1234,黑松,勤 業 眾 信 聯 合 會 計 師 事 務 所,陳慧銘,林宜慧,99/10/14,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
