年季,公司代號,公司名稱,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2015/04,2856,元富證券,6130049,4451816,1678233,116692,1794925,-238441,1556484,--,--,1556484,-66355,--,1490129,1556484,--,--,1490129,--,--,0.99
2015/03,2855,統一證券,3557969,3287807,270162,511894,782056,-113452,668604,--,--,668604,96483,--,765087,664052,--,4552,760374,--,4713,0.50
2015/03,2856,元富證券,3861291,3077447,783844,-63646,720198,-90428,629770,--,--,629770,-250032,--,379738,629770,--,0,379738,--,0,0.40
2015/03,6005,群益證,4660799,3924066,736733,517878,1254611,-208485,1046126,--,--,1046126,86565,--,1132691,906996,--,139130,983108,--,149583,0.38
2015/02,2855,統一證券,2803626,2330584,473042,610665,1083707,-132684,951023,--,--,951023,-58147,--,892876,948303,--,2720,890112,--,2764,0.72
2015/02,2856,元富證券,2479986,2000107,479879,128431,608310,-123541,484769,--,--,484769,-340721,--,144048,484769,--,0,144048,--,0,0.31
2015/02,6005,群益證,3345976,2574158,771818,384301,1156119,-165710,990409,--,--,990409,-46691,--,943718,925375,--,65034,881748,--,61970,0.39
2015/01,2855,統一證券,1131274,1085428,45846,599970,645816,-87075,558741,--,--,558741,-24350,--,534391,557454,--,1287,532999,--,1392,0.42
2015/01,2856,元富證券,1326377,967701,358676,43448,402124,-54012,348112,--,--,348112,-206184,--,141928,348112,--,0,141928,--,0,0.23
2015/01,6005,群益證,1644903,1225156,419747,261981,681728,-91222,590506,--,--,590506,-16096,--,574410,567407,--,23099,550998,--,23412,0.24
2014/04,2855,統一證券,5163297,3926272,1237025,554338,1791363,-204082,1587281,--,--,1587281,63567,--,1650848,1583169,--,4112,1646453,--,4395,1.20
2014/04,2856,元富證券,5327626,4111646,1215980,411013,1626993,-129469,1497524,--,--,1497524,271377,--,1768901,1497524,--,--,1768901,--,--,0.97
2014/04,6005,群益證,6868876,5062173,1806703,625998,2432701,-289038,2143663,--,--,2143663,97761,--,2241424,2025305,--,118358,2111211,--,130213,0.85
2014/03,2855,統一證券,3954667,2923602,1031065,349018,1380083,-197722,1182361,--,--,1182361,52553,--,1234914,1179743,--,2618,1232189,--,2725,0.89
2014/03,2856,元富證券,4093932,3041900,1052032,55031,1107063,-84451,1022612,--,--,1022612,267441,--,1290053,1022612,--,0,1290053,--,0,0.66
2014/03,6005,群益證,5250419,3813505,1436914,374831,1811745,-184807,1626938,--,--,1626938,30060,--,1656998,1549840,--,77098,1580926,--,76072,0.65
2014/02,2855,統一證券,3145536,2003694,1141842,108576,1250418,-169805,1080613,--,--,1080613,-27041,--,1053572,1078856,--,1757,1051915,--,1657,0.82
2014/02,2856,元富證券,2973492,2044386,929106,43023,972129,-51835,920294,--,--,920294,130943,--,1051237,920294,--,0,1051237,--,0,0.60
2014/02,6005,群益證,3498981,2498937,1000044,223261,1223305,-108522,1114783,--,--,1114783,-6387,--,1108396,1088199,--,26584,1085763,--,22633,0.46
2014/01,2855,統一證券,1503083,969448,533635,-4001,529634,-65498,464136,--,--,464136,13526,--,477662,463292,--,844,476842,--,820,0.35
2014/01,2856,元富證券,1272775,914014,358761,-5021,353740,-31201,322539,--,--,322539,20951,--,343490,322539,--,0,343490,--,0,0.21
2014/01,6005,群益證,1657404,1198103,459301,104485,563786,-68879,494907,--,--,494907,31579,--,526486,478796,--,16111,509782,--,16704,0.20
2013/04,2855,統一證券,4613318,3399615,1213703,275784,1489487,-124034,1365453,--,--,1365453,67690,--,1433143,1361715,--,3738,1429496,--,3647,1.03
2013/04,2856,元富證券,4574405,3786724,787681,175783,963464,-122703,840761,--,--,840761,213986,--,1054747,840761,--,--,1054747,--,--,0.56
2013/04,6005,群益證,5974094,4835504,1138590,655287,1793877,-220468,1573409,--,--,1573409,102450,--,1675859,1471784,--,101625,1564621,--,111238,0.62
2013/03,2855,統一證券,3338767,2507024,831743,162091,993834,-73095,920739,0,--,920739,34183,--,954922,917828,--,2911,952011,--,2911,0.69
2013/03,2856,元富證券,3290109,2775936,514173,126503,640676,-82527,558149,--,--,558149,163001,--,721150,558149,--,--,721150,--,--,0.37
2013/03,6005,群益證,4352622,3597210,755412,461150,1216562,-153079,1063483,--,--,1063483,78063,--,1141546,989492,--,73991,1057974,--,83572,0.42
2013/02,2855,統一證券,2105448,1633612,471836,63708,535544,-45127,490417,0,--,490417,57494,--,547911,488284,--,2133,545778,--,2133,0.37
2013/02,2856,元富證券,2174819,1823900,350919,79844,430763,-58919,371844,--,--,371844,121259,--,493103,371844,--,0,493103,--,0,0.25
2013/02,6005,群益證,2844232,2394890,449342,274102,723444,-121442,602002,--,--,602002,102481,--,704483,555386,--,46616,646243,--,58240,0.23
2013/01,2855,統一證券,1169006,819271,349735,-16738,332997,-30877,302120,--,--,302120,45599,--,347719,301349,--,771,346948,--,771,0.23
2013/01,2856,元富證券,1220740,966309,254431,69762,324193,-4092,320101,--,--,320101,114320,--,434421,320101,--,0,434421,--,0,0.21
2013/01,6005,群益證,1365784,1169206,196578,157181,353759,-48014,305745,--,--,305745,73174,--,378919,288474,--,17271,378919,--,--,0.12
