年,季,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2013,04,2880,華南金,23232367,12269325,35501692,3874858,117470,19624227,11885137,-1833875,10051262,--,10051262,309530,10360792,10051213,--,49,10360743,--,49,1.11
2013,04,2881,富邦金,73264250,300856743,374120993,4082710,288361779,43443293,38233211,-5573890,32659321,--,32659321,-39011930,-6352609,32709351,--,-50030,-6302579,--,-50030,3.31
2013,04,2882,國泰金,114535012,268342270,382877282,1487407,293569577,55849247,31971051,-2950940,29020111,0,29020111,-5637719,23382392,28815775,--,204336,23075667,--,306725,2.50
2013,04,2883,開發金,5396460,19313286,24709746,824715,--,14663849,9221182,-772708,8448474,--,8448474,2919788,11368262,8304001,--,144473,11182674,--,185588,0.56
2013,04,2884,玉山金控,13034673,13712753,26747426,1706522,--,14826607,10214297,-1798246,8416051,--,8416051,819198,9235249,8416145,--,-94,9239127,--,-3878,1.53
2013,04,2885,元大金,9461591,19235978,28697569,722551,--,18878147,9096871,-1019550,8077321,--,8077321,-620118,7457203,7709994,--,367327,7037785,--,419418,0.78
2013,04,2886,兆豐金,31276126,23732342,55008468,5276424,-183695,22915657,27000082,-4505513,22494569,--,22494569,-535261,21959308,22489232,--,5337,21954295,--,5013,1.96
2013,04,2887,台新金控,31279771,24547462,55827233,-546409,--,30970190,25403452,-4829829,20573623,--,20573623,-1958354,18615269,13836248,--,6737375,12326139,--,6289130,1.72
2013,04,2888,新光金,55668897,92327846,147996743,773357,111848763,22690021,12684602,-2116538,10568064,--,10568064,2228386,12796450,9986345,--,581719,12066766,--,729684,1.11
2013,04,2889,國票金控,1489222,2724425,4213647,22722,--,2543005,1647920,-241333,1406587,--,1406587,-210673,1195914,1350210,--,56377,1130660,--,65254,0.52
2013,04,2890,永豐金控,16099250,16832592,32931842,1974507,--,18455932,12501403,-1710535,10790868,--,10790868,2401182,13192050,10790969,--,-101,13192151,--,-101,1.32
2013,04,2891,中信金,33160222,94006397,127166619,6415749,60001187,39197568,21552115,-41875,21510240,--,21510240,-7090337,14419903,21502785,0,7455,14425233,--,-5330,1.50
2013,04,2892,第一金控,25932432,10533800,36466232,4046506,397078,18973494,13049154,-2172180,10876974,0,10876974,1261592,12138566,10888641,--,-11667,12242170,--,-103604,1.26
2013,04,5880,合庫金,27418883,7435801,34854684,3476057,-585998,21949795,10014830,-1432169,8582661,--,8582661,-1246831,7335830,8496667,--,85994,7547519,--,-211689,1.00
