年,季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 21,待註銷股本股數（單位：股）,Unnamed: 22
2013,01,1101,台泥,77246355.0,195588878.0,272835233.0,65913019.0,61556516.00,127469535.0,36921759.0,12215684.00,45521147.0,13214330.00,--,107872920.00,--,--,37492778.00,145365698.0,0.0,0.0,29.22,,,
2013,01,1102,亞泥,57789464.0,147867373.0,205656837.0,54557931.0,46846907.00,101404838.0,32309181.0,1034446.00,47173926.0,6469871.00,--,86987424.00,--,--,17264575.00,104251999.0,0.0,0.0,26.92,,,
2013,01,1103,嘉泥,12221392.0,16755562.0,28976954.0,2958234.0,9622730.00,12580964.0,7768285.0,444825.00,8044970.0,-997405.00,-1153409.00,14107266.00,--,--,2288724.00,16395990.0,0.0,132150185.0,21.88,,,
2013,01,1104,環球水泥,2231669.0,14155850.0,16387519.0,1127396.0,1528405.00,2655801.0,6038919.0,21763.00,6765931.0,723700.00,--,13550313.00,--,--,181405.00,13731718.0,0.0,0.0,22.44,,,
2013,01,1108,幸福水泥,5314198.0,3260915.0,8575113.0,2245153.0,2046786.00,4291939.0,4047380.0,5.00,199978.0,55075.00,0.00,4302438.00,--,--,-19264.00,4283174.0,0.0,0.0,10.63,,,
2013,01,1109,信大水泥,2923669.0,6604285.0,9527954.0,1131021.0,1425412.00,2556433.0,4210008.0,22299.00,1753470.0,75647.00,0.00,6061424.00,--,--,910097.00,6971521.0,0.0,0.0,14.4,,,
2013,01,1110,東泥,1178376.0,8172897.0,9351273.0,276827.0,483459.00,760286.0,5720008.0,183902.00,1927974.0,736976.00,-12185.00,8556675.00,--,--,34312.00,8590987.0,0.0,2112865.0,15.01,,,
2013,01,1201,味全公司,22272397.0,14334162.0,36606559.0,17340755.0,8137705.00,25478460.0,5060629.0,688.00,2961198.0,10551.00,--,8033066.00,--,--,3095033.00,11128099.0,0.0,0.0,15.87,,,
2013,01,1203,味王公司,2993160.0,4920499.0,7913659.0,1448183.0,1647828.00,3096011.0,2400000.0,36153.00,1520376.0,49635.00,-38464.00,3967700.00,--,--,849948.00,4817648.0,0.0,2293865.0,16.69,,,
2013,01,1210,大成長城,20141455.0,15103513.0,35244968.0,13900605.0,3842423.00,17743028.0,5664572.0,2326468.00,3210329.0,902661.00,-306199.00,11797831.00,--,--,5704109.00,17501940.0,0.0,40688225.0,22.44,,,
