年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 21
2013/02,1101,台泥,77139390.0,196505065.0,273644455.0,68971246.0,65466041.00,134437287.0,36921759.0,12192857.00,41075425.0,11577183.00,--,101767224.00,--,--,37439944.00,139207168.0,0.0,0.0,27.56,
2013/02,1102,亞泥,71535086.0,147340593.0,218875679.0,69315658.0,48866815.00,118182473.0,32955365.0,1019808.00,43535464.0,5663318.00,--,83173955.00,--,--,17519251.00,100693206.0,0.0,0.0,25.74,
2013/02,1103,嘉泥,11522945.0,16529498.0,28052443.0,3334434.0,8948687.00,12283121.0,7768285.0,444825.00,8011745.0,-1501621.00,-1153409.00,13569825.00,--,--,2199497.00,15769322.0,0.0,132150185.0,21.05,
2013/02,1104,環球水泥,2672600.0,14204236.0,16876836.0,1787638.0,1523193.00,3310831.0,6038919.0,21763.00,6648450.0,706162.00,--,13415294.00,--,--,150711.00,13566005.0,0.0,0.0,22.21,
2013/02,1108,幸福水泥,5583173.0,3154382.0,8737555.0,2282837.0,2108292.00,4391129.0,4047380.0,7.00,241247.0,36224.00,0.00,4324858.00,--,--,21568.00,4346426.0,0.0,0.0,10.69,
2013/02,1109,信大水泥,3040733.0,6632320.0,9673053.0,1298759.0,1459595.00,2758354.0,4210008.0,22299.00,1662409.0,94198.00,0.00,5988914.00,--,--,925785.00,6914699.0,0.0,0.0,14.23,
2013/02,1110,東泥,1499188.0,7859434.0,9358622.0,382408.0,471538.00,853946.0,5720008.0,184007.00,1887764.0,691152.00,-12185.00,8470746.00,--,--,33930.00,8504676.0,0.0,2112865.0,14.86,
2013/02,1201,味全公司,22687700.0,15101882.0,37789582.0,11451293.0,15225867.00,26677160.0,5060629.0,688.00,2914471.0,78562.00,--,8054350.00,--,--,3058072.00,11112422.0,0.0,0.0,15.92,
2013/02,1203,味王公司,3116113.0,4895125.0,8011238.0,1647933.0,1641265.00,3289198.0,2400000.0,36153.00,1527048.0,18768.00,-38464.00,3943505.00,--,--,778535.00,4722040.0,0.0,2293865.0,16.59,
2013/02,1210,大成長城,21422220.0,15373024.0,36795244.0,14574215.0,5216470.00,19790685.0,5664572.0,2326642.00,2571063.0,1091424.00,-306199.00,11347502.00,--,--,5657057.00,17004559.0,0.0,40688225.0,21.58,
2013/02,1213,大飲,381029.0,436111.0,817140.0,142086.0,37057.00,179143.0,514751.0,21938.00,101621.0,-313.00,--,637997.00,--,--,--,637997.0,0.0,0.0,12.39,
2013/02,1215,卜蜂企業,4221879.0,4722443.0,8944322.0,3705164.0,1041401.00,4746565.0,2320268.0,967.00,451846.0,1366972.00,--,4140053.00,--,--,57704.00,4197757.0,0.0,0.0,17.84,
