年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2015/03,1101,台泥,90814601,205934003,296748604,70796103,68313122,139109225,36921759,12310531,44337361,15886581,--,109456232,--,--,48183147,157639379,0,--,0,29.65
2015/03,1102,亞泥,65456341,222501014,287957355,69800135,57703783,127503918,33614472,1096249,91900694,14656162,--,141267577,--,--,19185860,160453437,0,--,0,42.03
2015/03,1103,嘉泥,12540833,17057890,29598723,2670342,12838356,15508698,7768285,605968,7756185,-2592510,-1163291,12374637,--,--,1715388,14090025,0,--,132605016,19.21
2015/03,1104,環球水泥,2830347,16899128,19729475,2242017,1506130,3748147,6282891,31494,8162274,1351094,--,15827753,--,--,153575,15981328,0,--,0,25.19
2015/03,1108,幸福水泥,5330369,2694925,8025294,2008351,1242329,3250680,4047380,8,673475,20316,0,4741179,--,--,33435,4774614,0,0,0,11.71
2015/03,1109,信大水泥,2803030,6450945,9253975,1511428,1300423,2811851,3789007,22299,1444945,180968,0,5437219,--,--,1004905,6442124,0,0,0,14.35
2015/03,1110,東泥,1833526,7397521,9231047,281498,352135,633633,5720008,185126,1991201,678882,-12185,8563032,--,--,34382,8597414,0,--,2112865,15.03
2015/03,1201,味全公司,23653314,15708657,39361971,23561999,6139490,29701489,5060629,688,1299265,313699,--,6674281,--,--,2986201,9660482,0,0,0,13.19
2015/03,1203,味王公司,3519174,4828802,8347976,1429123,1712902,3142025,2400000,112965,1735782,102492,-38464,4312775,--,--,893176,5205951,0,0,2293865,18.14
2015/03,1210,大成長城,21299264,19223179,40522443,15929809,4834131,20763940,7363944,2430782,2854589,1398058,-306199,13741174,--,--,6017329,19758503,0,--,52894691,20.1
2015/03,1213,大飲,493550,405296,898846,169361,37651,207012,514751,21938,155451,-306,--,691834,--,--,--,691834,0,0,0,13.44
2015/03,1215,卜蜂企業,4119658,5082343,9202001,3408446,677399,4085845,2679910,967,1301740,1015123,--,4997740,--,--,118416,5116156,0,0,0,18.65
2015/03,1216,統一,141251915,262645917,403897832,156299653,90794351,247094004,56820154,3940601,31697909,4538989,--,96997653,--,--,59806175,156803828,0,0,0,17.07
2015/03,1217,愛之味,2648787,8972260,11621047,3178429,2259241,5437670,4872053,370460,274089,-51661,0,5464941,--,--,718436,6183377,0,0,0,11.22
2015/03,1218,泰山企業,3326323,4912164,8238487,2400403,2422852,4823255,3533360,23770,79568,-22545,-203876,3410277,0,--,4955,3415232,0,0,13680042,10.04
2015/03,1219,福壽實業,3498915,3318430,6817345,1607746,1298677,2906423,3188256,36696,547493,4031,--,3776476,--,--,134446,3910922,0,0,0,11.84
2015/03,1220,台榮,1925389,1088572,3013961,433520,300919,734439,1770779,631,421170,-73030,0,2119550,--,--,159972,2279522,0,--,0,11.97
2015/03,1225,福懋油,3413892,2696675,6110567,1730104,1387185,3117289,2187030,121015,344518,20256,--,2672819,--,--,320459,2993278,0,--,0,12.22
2015/03,1227,佳格,14569793,4854986,19424779,5854961,483225,6338186,7926972,63153,4492300,427973,-21182,12889216,--,--,197377,13086593,0,0,5777436,16.38
2015/03,1229,聯華實業,2869901,21591425,24461326,3223020,1236352,4459372,8887198,674492,8616586,1731027,-2393,19906910,--,--,95044,20001954,0,--,98000,22.4
2015/03,1231,聯華食品,2963490,3510054,6473544,2070812,1676237,3747049,1481131,72435,1102469,52391,--,2708426,--,--,18069,2726495,0,--,0,18.29
2015/03,1232,大統益,3825957,612842,4438799,867884,100323,968207,1599749,23784,1807379,0,--,3430912,--,--,39680,3470592,0,0,0,21.45
2015/03,1233,天仁,685264,1242232,1927496,420340,125986,546326,905919,54263,462920,-43538,-2754,1376810,--,--,4360,1381170,0,0,60000,15.21
2015/03,1234,黑松,7333670,14466304,21799974,1681681,2676712,4358393,4018711,184583,13127709,110578,0,17441581,--,--,0,17441581,0,0,0,43.4
