年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 54
2015/01,2880,華南金,64983384.0,146581710.0,49912107.0,89322525.0,1154.00,467915.0,45373796.0,1886954.0,--,1465965354.00,2932465.00,267249483.0,68923.00,--,76785795.0,9358604.00,33413605.0,346507.0,2121478.0,5540368.0,2262312127.0,83656136.00,--,23280065.0,57099.00,27170933.0,8921894.0,32932689.0,1941036.0,--,1846573769.00,47343734.00,2335000.00,--,16830507.0,13135960.0,6119580.0,4222237.0,2114520639.0,93279700.0,17758986.0,36723628.0,27659.0,--,--,147789973.0,1515.0,147791488.0,0.0,0.00,0.0,15.84,
2015/01,2881,富邦金,201891463.0,150853848.0,149699768.0,1851553420.0,435962.00,58660906.0,186737543.0,890394.0,48254.00,1649848651.00,14491937.00,257160798.0,7004704.00,--,749778125.0,134788620.00,43047248.0,30619709.0,2923163.0,64015847.0,5554450360.0,138278251.00,10165630.00,64078899.0,2499458.00,103776464.0,6918379.0,112159517.0,5014687.0,--,1816840846.00,155155888.00,2200000.00,--,2478046705.0,181402307.0,13981161.0,16184151.0,5106702343.0,102336040.0,74446982.0,199842822.0,63087560.0,--,--,439713404.0,8034613.0,447748017.0,0.0,0.00,0.0,42.97,
2015/01,2882,國泰金,372500934.0,167303594.0,232297737.0,1408038943.0,655161.00,43093107.0,161075851.0,7375165.0,0.00,1830447499.00,5993347.00,89008359.0,6069063.00,--,2228535089.0,338132992.00,93316302.0,9340458.0,13665332.0,38159864.0,7045008797.0,67031921.00,628020.00,87119663.0,0.00,61616178.0,26428229.0,52282701.0,470300.0,--,1733676545.00,107399878.00,--,--,3857417619.0,544775424.0,25662283.0,21182941.0,6585691702.0,125632102.0,88782304.0,180966483.0,58152310.0,0.00,0.00,453533199.0,5783896.0,459317095.0,0.0,0.00,0.0,36.1,
2015/01,2883,開發金,25287050.0,63042000.0,137254115.0,142862046.0,0.00,29604503.0,162414751.0,708163.0,--,227403051.00,--,190000.0,10613385.00,21407105.00,72541088.0,2068778.00,14404898.0,9030129.0,5712506.0,15194757.0,939738325.0,7867696.00,--,29334851.0,9691.00,124355987.0,29433669.0,50453788.0,1284707.0,--,334679948.00,23570225.00,60941695.00,--,1180745.0,85631996.0,1454321.0,14180077.0,764379396.0,153533433.0,600999.0,22219947.0,-378375.0,-4271618.00,--,171704386.0,3654543.0,175358929.0,25000.0,--,512119938.0,11.57,
2015/01,2884,玉山金控,25929079.0,58817449.0,321726674.0,95971795.0,0.00,370351.0,77318570.0,301123.0,--,939796116.00,--,5729651.0,--,--,38221376.0,627077.00,21197054.0,5653982.0,224184.0,5225803.0,1597110284.0,57351641.00,--,25570445.0,--,9529930.0,4835583.0,24485859.0,1305001.0,--,1307317028.00,47300000.00,408504.00,--,370923.0,1629754.0,792721.0,2240000.0,1483137389.0,73016504.0,20371288.0,18354515.0,1441311.0,--,0.00,113183618.0,789277.0,113972895.0,0.0,0.00,0.0,15.5,
2015/01,2885,元大金,42442407.0,84052767.0,307481774.0,120263553.0,--,25965212.0,156057359.0,1755954.0,0.00,458146816.00,358068.00,59292280.0,2140778.00,2359367.00,84192884.0,7424073.00,13665408.0,26677037.0,3599005.0,15261862.0,1411136604.0,4921545.00,--,88692616.0,--,117873065.0,36031777.0,144634181.0,3660762.0,--,587536953.00,54209030.00,17456283.00,--,105747990.0,43073894.0,1889976.0,15808040.0,1221536112.0,101410666.0,33668209.0,34196335.0,5413306.0,--,--,174688516.0,14911976.0,189600492.0,0.0,0.00,0.0,17.23,
2015/01,2886,兆豐金,149780733.0,620338366.0,174363489.0,297085455.0,--,6914831.0,209407293.0,1647631.0,2707.00,1731452090.00,3168805.00,165158933.0,2814101.00,--,20166684.0,1299806.00,22075500.0,296467.0,4071594.0,10337501.0,3420381986.0,617966995.00,53752120.00,25095630.0,--,184109897.0,15859005.0,61180640.0,10061589.0,--,2075754233.00,56200000.00,5471289.00,--,21613585.0,10688208.0,2292746.0,12611173.0,3152657110.0,124498240.0,55268667.0,85812530.0,1981944.0,0.00,0.00,267561381.0,163495.0,267724876.0,0.0,--,0.0,21.49,
2015/01,2887,台新金控,18044408.0,33138519.0,98410005.0,270968706.0,0.00,231025.0,93540474.0,181655.0,--,820956845.00,--,2534.0,33298705.00,--,9318787.0,919825.00,18035876.0,2002981.0,3628343.0,18275164.0,1420953852.0,68915480.00,--,30627336.0,--,77301599.0,879158.0,17600300.0,1606806.0,--,986386758.00,55000000.00,7346268.00,--,791744.0,52507106.0,53931.0,2941607.0,1301958093.0,95814304.0,10648428.0,11812842.0,591450.0,--,0.00,118867024.0,128735.0,118995759.0,3811342.0,0.00,0.0,12.41,
2015/01,2888,新光金,56550922.0,125964830.0,101811247.0,383613880.0,--,6189773.0,71396101.0,4248981.0,0.00,686748602.00,--,364681992.0,207835.00,--,807239485.0,123288348.00,26739097.0,2974543.0,11820536.0,35757646.0,2809233818.0,2123247.00,--,16328738.0,--,26249231.0,2998969.0,39749076.0,196555.0,--,631425723.00,37973955.00,5650727.00,0.00,1809510826.0,85850218.0,3873778.0,14313649.0,2676244692.0,98347538.0,9515087.0,34557594.0,-24153167.0,--,--,118267052.0,14722074.0,132989126.0,0.0,--,0.0,12.03,
2015/01,2889,國票金控,2484770.0,96.0,109808035.0,85663797.0,--,359943.0,19933178.0,837663.0,--,--,--,196631.0,1540321.00,--,4643115.0,--,1936062.0,459176.0,58497.0,1611011.0,229532295.0,--,23850202.00,393618.0,--,149625527.0,11741908.0,6407640.0,150083.0,--,--,--,--,--,1430377.0,1417722.0,20051.0,263879.0,195301007.0,26873652.0,7544.0,3317296.0,432526.0,-485234.00,--,30145784.0,4085504.0,34231288.0,0.0,0.00,50000000.0,11.43,
