年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值,Unnamed: 53
2015/01,2801,彰化銀行,34996556.0,95028137.00,38626767.0,41066.00,--,18831522.0,594600.00,--,1309312593.00,57660457.0,188565148.00,--,--,46137873.0,23768046.0,11010889.00,451682.00,2959909.0,840211.0,1828825456.0,133143208.0,938700.00,21113261.0,--,5673942.0,24530071.0,1029712.00,--,1457412374.00,48418988.00,--,--,516617.00,4007180.0,6728489.00,3293800.0,1706806342.0,79040404.0,--,42648428.0,330282.0,0.00,122019114.00,--,--,--,122019114.0,0.0,0.00,0.0,15.44,
2015/01,2809,京城銀行,11651501.0,31560800.00,3452788.0,--,2181994.00,1042853.0,--,--,122761636.00,58240397.0,0.00,--,--,3983294.0,2543132.0,--,--,255240.0,635564.0,238309199.0,17662885.0,2355075.00,304403.0,--,24132968.0,1440188.0,893031.00,--,161886627.00,0.00,--,--,0.00,463179.0,65821.00,170551.0,209374728.0,12012343.0,178746.00,15211294.0,1532088.0,0.00,28934471.00,0.00,--,0.00,28934471.0,0.0,0.00,0.0,24.09,
2015/01,2812,台中銀行,8542583.0,79476845.00,22068923.0,0.00,3449995.00,7801254.0,1086.00,0.00,376793452.00,21244207.0,3170800.00,140516.00,561424.00,1188807.0,9159693.0,0.00,147844.00,571635.0,1560180.0,535879244.0,16692518.0,3719686.00,190039.0,0.00,964045.0,4605291.0,368062.00,0.00,456376603.00,14400000.00,0.00,0.00,340418.00,780547.0,111021.00,572490.0,499120720.0,28515063.0,683751.00,7427151.0,132559.0,0.00,36758524.00,--,--,0.00,36758524.0,0.0,0.00,0.0,12.89,
2015/01,2820,華票,325181.0,--,104325811.0,--,4050163.00,1630067.0,156756.00,--,--,71864096.0,368651.00,--,--,178798.0,161882.0,--,--,113195.0,889070.0,184063670.0,17125604.0,--,6373.0,--,142920939.0,526221.0,0.00,--,--,--,--,--,--,1448181.0,6764.00,117911.0,162151993.0,13429600.0,2474.00,8029570.0,450033.0,--,--,--,--,--,21911677.0,0.0,0.00,0.0,16.32,
2015/01,2834,臺灣企銀,55894507.0,60681338.00,3564539.0,--,169895.00,16241996.0,197345.00,--,1027123192.00,16233429.0,194467232.00,--,--,3286793.0,14061740.0,--,136182.00,1992807.0,2050301.0,1396101296.0,90788626.0,0.00,256627.0,--,4460823.0,19704589.0,--,--,1155265409.00,41800000.00,--,--,15269067.00,2985597.0,886378.00,748500.0,1332165616.0,52979141.0,0.00,11036801.0,-80262.0,0.00,63935680.00,0.00,--,0.00,63935680.0,0.0,0.00,0.0,12.07,
2015/01,2836,高銀,3157572.0,21444918.00,10356258.0,--,14645818.00,998337.0,25924.00,--,178950161.00,28871933.0,3236411.00,--,--,1834187.0,2979033.0,--,78871.00,190375.0,122593.0,266892391.0,8921485.0,--,11060.0,--,58182.0,2928357.0,24010.00,--,235157062.00,7000000.00,--,--,178046.00,975192.0,--,141227.0,255394621.0,7403514.0,1872395.00,2194553.0,27308.0,0.00,11497770.00,--,--,0.00,11497770.0,0.0,0.00,0.0,15.53,
2015/01,2838,聯邦銀行,8142047.0,63531436.00,18849111.0,--,18982830.00,14161097.0,332359.00,--,271379325.00,14977548.0,1030610.00,54027.00,--,57865118.0,7750832.0,3674285.00,2049277.00,2318938.0,6852636.0,491951476.0,5472844.0,--,256152.0,--,31785414.0,3940990.0,17990.00,--,402780663.00,7400000.00,574631.00,--,2472999.00,967223.0,699500.00,2411543.0,458779949.0,24509306.0,33006.00,6853503.0,1502914.0,--,32898729.00,--,--,272798.00,33171527.0,0.0,0.00,0.0,13.42,
2015/01,2845,遠東商銀,6536460.0,72846259.00,23788603.0,26064.00,15907850.00,18896122.0,27156.00,--,333835271.00,38967398.0,3303232.00,1618152.00,--,15040496.0,2804603.0,--,1795163.00,800440.0,206541.0,536399810.0,14328786.0,--,11402974.0,5003.00,8502194.0,5839576.0,325510.00,--,429298138.00,25445647.00,--,--,2576629.00,991498.0,--,498704.0,499214659.0,28618263.0,462400.00,8276912.0,-172424.0,--,37185151.00,--,--,--,37185151.0,0.0,--,0.0,12.99,
2015/01,2847,大眾銀行,3653127.0,13097373.00,35674475.0,--,762012.00,25251770.0,90677.00,--,278952532.00,82441030.0,--,--,212000.00,6664436.0,3131549.0,--,2351621.00,1813994.0,5730886.0,459827482.0,16776195.0,--,13613596.0,3859.00,9278406.0,6246960.0,58342.00,--,337004087.00,25374940.00,--,1635380.00,11038315.00,611840.0,77510.00,1294629.0,423014059.0,25805739.0,2110664.00,5444178.0,303238.0,-32343.00,33631476.00,--,--,3181947.00,36813423.0,3985641.0,--,0.0,13.05,
2015/01,2849,安泰銀行,5591153.0,58969857.00,25565901.0,--,448588.00,6694385.0,202524.00,--,191861105.00,36571603.0,--,--,--,1316266.0,970855.0,--,238173.00,2989682.0,3213925.0,334634017.0,13199557.0,--,11665023.0,--,5282481.0,3851778.0,0.00,--,258651583.00,10000000.00,--,1414865.00,1236297.00,426896.0,45134.00,167040.0,305940654.0,16796775.0,1461505.00,10557266.0,-122183.0,0.00,28693363.00,--,--,0.00,28693363.0,0.0,0.00,0.0,17.08,
