年,公司代號,公司名稱,股利所屬年度,權利分派基準日,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),除權交易日,配股總股數(股),配股總金額(元),配股總股數佔盈餘配股總股數之比例(%),員工紅利配股率,盈餘分配之股東現金股利(元/股),法定盈餘公積、資本公積發放之現金(元/股),除息交易日,現金股利發放日,員工紅利總金額(元),現金增資總股數(股),現金增資認股比率(%),現金增資認購價(元/股),董監酬勞(元),公告日期,公告時間,普通股每股面額
2005,1101,台泥,93,94/09/25,0.5,0,94/09/19,"          7,298,660","             72,986,600",5.23,0.00275862,0.7,0,94/09/19, ,"        291,946,421",                  0,0,          0.00,"        109,479,906",94/08/22,15:12:00,新台幣                 10.0000元
2005,1101A,甲種特別股,93,94/09/25, , , , , , , ,1.5, ,94/09/19, , , , , ,-,94/08/22,15:12:00,新台幣                 10.0000元
2005,1102,亞泥,93,94/08/13,0.8,0,94/08/05,                  0,                      0,0.00,0,1.2,0,94/08/05, ,"        186,742,863",                  0,0,          0.00,"        140,057,147",94/07/22,17:11:58,新台幣                 10.0000元
2005,1104,環球水泥,93,94/07/27,1.1,0,94/07/21,                  0,                      0,0.00,0,0,0, , ,"         14,594,617",                  0,0,          0.00,"         14,594,617",94/07/06,09:02:20,新台幣                 10.0000元
2005,1108,幸福水泥,93,94/08/04, , , , , , ,0,0.3,0,94/07/28, ,"          4,778,286", , , ,"          7,963,810",94/07/11,10:11:17,新台幣                 10.0000元
2005,1109,信大水泥,93,94/07/26, , , , , , ,0,0.5,0,94/07/20, ,"          2,519,431", , , ,"         12,597,153",94/07/04,10:00:07,新台幣                 10.0000元
2005,1110,東泥,93,94/07/13, , , , , , ,0,0.25,0,94/07/07, ,"          1,527,520", , , ,"          4,582,561",94/06/22,16:36:17,新台幣                 10.0000元
2005,1210,大成長城,93,94/09/04, , , , , , ,0,0.30575184,0,94/08/29, ,"          7,000,000", , , ,"          6,000,000",94/08/15,10:35:06,新台幣                 10.0000元
2005,1216,統一,93,94/08/08, , , , , , ,0,0.36,0,94/08/02, ,"        101,211,958", , , ,"         25,302,989",94/07/13,09:06:49,新台幣                 10.0000元
2005,1218,泰山企業,93,94/08/15,0,0.2,94/08/09,                  0,                      0,0.00,0,0,0, , , ,                  0,0,          0.00,-,94/07/25,11:23:40,新台幣                 10.0000元
2005,1227,佳格,93,94/12/31, , , , , , ,0,1.1,0,94/12/23, ,"          6,032,100", , , ,"          4,467,316",94/12/13,17:11:11,新台幣                 10.0000元
2005,1229,聯華實業,93,94/06/20, , , , , , ,0,0.60138948,0,94/06/14, ,"          3,000,000", , , ,"          8,000,000",94/05/30,17:15:45,新台幣                 10.0000元
2005,1231,聯華食品,93,94/08/27, , , , , , ,0,0.5,0,94/08/19, ,"            403,976", , , ,"            403,976",94/08/04,17:43:33,新台幣                 10.0000元
2005,1232,大統益,93,94/07/12, , , , , , ,0,1.2,0,94/07/06, ,"          4,035,041", , , ,"          4,035,041",94/06/16,10:14:26,新台幣                 10.0000元
2005,1233,天仁,93,94/07/11, , , , , , ,0,1.5,0,94/07/05, ,"          3,471,843", , , ,"          3,471,843",94/06/15,10:50:32,新台幣                 10.0000元
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,1234,黑松,93,94/07/22, , , , , , ,0,0.2,0,94/07/14, ,"          1,116,309", , , ,"          3,348,926",94/06/30,16:25:54,新台幣                 10.0000元
2005,1235,興泰,93,94/10/12,1.2,0,94/10/06,                  0,                      0,0.00,0, , , , ,"          1,452,046",                  0,0,          0.00,"          2,420,077",94/09/20,17:08:04,新台幣                 10.0000元
2005,1236,宏亞食品,93,94/07/21,0.5,0,94/07/14,                  0,                      0,0.00,0,1,0,94/07/14, ,"          2,309,057",                  0,0,          0.00,"          5,772,642",94/06/29,09:35:11,新台幣                 10.0000元
2005,1301,台塑,93,94/06/28,0.9,0,94/06/22,                  0,                      0,0.00,0,3.6,0,94/06/22, ,"        145,148,936",                  0,0,          0.00,"         36,287,234",94/06/09,15:27:05,新台幣                 10.0000元
2005,1303,南亞塑膠,93,94/07/12,0,0.6,94/07/06,                  0,                      0,0.00,0,3.6,0,94/07/06, ,"        133,490,676",                  0,0,          0.00,"         35,352,000",94/06/21,17:42:33,新台幣                 10.0000元
2005,1304,台聚,93,94/07/21, , , , , , ,0,1,0,94/07/14, ,"          1,100,000", , , ,"          4,400,000",94/06/30,14:24:47,新台幣                 10.0000元
2005,1307,三芳化工,93,94/06/26, , , , , , ,0,0.7,0,94/06/20, ,"          9,248,762", , , ,"          5,549,257",94/06/13,11:07:02,新台幣                 10.0000元
2005,1308,亞聚,93,94/08/30,0.6,0,94/08/24,                  0,                      0,0.00,0,0.6,0,94/08/24, ,"          4,599,296",                  0,0,          0.00,                  0,94/08/09,09:46:05,新台幣                 10.0000元
2005,1309,台達化工,93,94/08/30,0.2,0.1,94/08/24,                  0,                      0,0.00,0,0.2,0,94/08/24, ,"          1,589,658",                  0,0,          0.00,                  0,94/08/08,17:29:35,新台幣                 10.0000元
2005,1310,台苯,93,94/08/25,0.6,0,94/08/18,"            323,731","              3,237,310",1.00,0.00060606,0.4,0,94/08/18, ,"          2,158,207",                  0,0,          0.00,                  0,94/08/02,10:21:00,新台幣                 10.0000元
2005,1311,福聚,93,94/08/02,0.5,0,94/07/27,                  0,                      0,0.00,0,2.8,0,94/07/27, ,"         10,076,280",                  0,0,          0.00,"         32,300,000",94/07/06,15:22:10,新台幣 10.0000元
2005,1313,聯成,93,94/08/10,0.40089891,0,94/08/04,                  0,                      0,0.00,0,0.40089891,0,94/08/04, ,"          4,000,000",                  0,0,          0.00,"          8,000,000",94/07/20,15:37:10,新台幣                 10.0000元
2005,1315,達新工業,93,94/06/13, , , , , , ,0,0.8,0,94/06/07, ,"            975,849", , , ,"            975,849",94/05/23,15:05:37,新台幣                 10.0000元
2005,1319,東陽,93,94/08/10, , , , , , ,0,1.9884,0,94/08/04, ,"          8,549,301", , , ,"         25,647,902",94/07/20,15:31:23,新台幣                 10.0000元
2005,1321,大洋,93,94/08/26,0.5,0,94/08/18,                  0,                      0,0.00,0,0.5,0,94/08/18, ,"          3,526,830",                  0,0,          0.00,"          3,526,830",94/07/29,10:57:03,新台幣                 10.0000元
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,1323,永裕,93,94/06/21, , , , , , ,0,0.5,0,94/06/15, ,"          4,580,773", , , ,"          1,145,193",94/05/30,16:58:00,新台幣                 10.0000元
2005,1323,永裕,93,94/08/10,0.2,0,94/08/04,                  0,                      0,0.00,0, , , , , ,                  0,0,          0.00,"          1,145,193",94/07/15,17:13:38,新台幣                 10.0000元
2005,1324,地球工業,93,94/08/16, , , , , , ,0,0.6,0,94/08/10, ,"            777,980", , , ,"            777,980",94/07/22,17:23:42,新台幣                 10.0000元
2005,1326,台化,93,94/07/19,1,0,94/07/13,                  0,                      0,0.00,0,4.5,0,94/07/13, ,"        226,418,330",                  0,0,          0.00,"         37,415,000",94/06/28,17:30:17,新台幣                 10.0000元
2005,1402,遠東新,93,94/08/25,0.8,0,94/08/18,                  0,                      0,0.00,0,1,0,94/08/18, ,"        294,167,265",                  0,0,          0.00,"        220,625,449",94/08/04,14:10:36,新台幣                 10.0000元
2005,1434,福懋興業,93,94/08/05,0.2,0,94/07/28,                  0,                      0,0.00,0,0.8,0,94/07/28, ,"            531,253",                  0,0,          0.00,"            265,626",94/07/11,15:37:48,新台幣                 10.0000元
2005,1439,中和羊毛,93,94/07/08, , , , , , ,0,0.2,0,94/06/30, ,"          1,021,739", , , ,"            613,044",94/06/16,10:06:00,新台幣                 10.0000元
2005,1440,南紡,93,94/07/10, , , , , , ,0,0.2,0,94/07/04, ,"          9,847,666", , , ,"         14,771,499",94/06/15,11:47:35,新台幣                 10.0000元
2005,1451,年興紡織,93,94/07/06, , , , , , ,0,2,0,94/06/30, ,"         12,200,000", , , ,"         10,400,000",94/06/14,17:50:20,新台幣                 10.0000元
2005,1452,宏益,93,94/07/24,0,0.2,94/07/18,                  0,                      0,0.00,0, , , , , ,                  0,0,          0.00,-,94/07/05,17:30:42,新台幣                 10.0000元
2005,1454,台富,93,94/08/30,0,0.3,94/08/24,                  0,                      0,0.00,0,0,0, , ,                  0,                  0,0,          0.00,                  0,94/08/09,16:41:21,新台幣                 10.0000元
2005,1455,集盛,93,94/08/06, , , , , , ,0,0.25,0,94/07/29, ,"          9,245,344", , , ,"         13,868,016",94/07/12,16:11:21,新台幣                 10.0000元
2005,1455,集盛,93,94/08/16,0.75,0,94/08/10,                  0,                      0,0.00,0, , , , ,"          9,245,344",                  0,0,          0.00,"         13,868,016",94/07/13,09:16:59,新台幣                 10.0000元
